he wanted to plant a garden,Jack read a book about gardening because he wanted to plant a garden,Jack read a book about gardening
he wanted to eliminate chemicals from his food,he wanted to plant a garden because he wanted to eliminate chemicals from his food,he wanted to plant a garden
chemicals can be bad for you,he wanted to eliminate chemicals from his food because chemicals can be bad for you,he wanted to eliminate chemicals from his food
they haven't been adequately tested,chemicals can be bad for you because they haven't been adequately tested,chemicals can be bad for you
government is controlled by business,they haven't been adequately tested because government is controlled by business,they haven't been adequately tested
because he needed some things,John went to the store because because he needed some things,John went to the store
he was going to cook supper,because he needed some things because he was going to cook supper,because he needed some things
there was nothing ready to eat,he was going to cook supper because there was nothing ready to eat,he was going to cook supper
all the leftovers were gone,there was nothing ready to eat because all the leftovers were gone,there was nothing ready to eat
they had been eaten,all the leftovers were gone because they had been eaten,all the leftovers were gone
her old computer was antiquated,Meg bought a new computer because her old computer was antiquated,Meg bought a new computer
it was 10 years old,her old computer was antiquated because it was 10 years old,her old computer was antiquated
it was made 10 years ago,it was 10 years old because it was made 10 years ago,it was 10 years old
computers were in use at that time,it was made 10 years ago because computers were in use at that time,it was made 10 years ago
they had been invented and were useful,computers were in use at that time because they had been invented and were useful,computers were in use at that time
she was hungry,Amy ate a sandwich because she was hungry,Amy ate a sandwich
she hadn't eaten breakfast,she was hungry because she hadn't eaten breakfast,she was hungry
she was in a hurry this morning,she hadn't eaten breakfast because she was in a hurry this morning,she hadn't eaten breakfast
she was late for a meeting,she was in a hurry this morning because she was late for a meeting,she was in a hurry this morning
her alarm clock didn't go off,she was late for a meeting because her alarm clock didn't go off,she was late for a meeting
he is interested in it,Jack read a book about gardening because he is interested in it,Jack read a book about gardening
his grandfather was interested in it,he is interested in it because his grandfather was interested in it,he is interested in it
he had to grow his own vegetables as a child,his grandfather was interested in it because he had to grow his own vegetables as a child,his grandfather was interested in it
his family had a small farm,he had to grow his own vegetables as a child because his family had a small farm,he had to grow his own vegetables as a child
they come from a long line of farmers,his family had a small farm because they come from a long line of farmers,his family had a small farm
he needed to buy eggs,John went to the store because he needed to buy eggs,John went to the store
he wanted to make a quiche,he needed to buy eggs because he wanted to make a quiche,he needed to buy eggs
his girlfriend was coming over that morning,he wanted to make a quiche because his girlfriend was coming over that morning,he wanted to make a quiche
she wanted to see him before she left on a trip,his girlfriend was coming over that morning because she wanted to see him before she left on a trip,his girlfriend was coming over that morning
she had to go in on a weekend,Maya drove to work because she had to go in on a weekend,Maya drove to work
her boss called her and asked her to,she had to go in on a weekend because her boss called her and asked her to,she had to go in on a weekend
they were very behind on a project,her boss called her and asked her to because they were very behind on a project,her boss called her and asked her to
a winter storm had shut down their offices for several days,they were very behind on a project because a winter storm had shut down their offices for several days,they were very behind on a project
their city wasn't prepared for snow,a winter storm had shut down their offices for several days because their city wasn't prepared for snow,a winter storm had shut down their offices for several days
the tire was flat,Sam repaired his bicycle because the tire was flat,Sam repaired his bicycle
he ran over a nail,the tire was flat because he ran over a nail,the tire was flat
he was riding it through a warehouse parking lot,he ran over a nail because he was riding it through a warehouse parking lot,he ran over a nail
he wanted to see a girl who worked there,he was riding it through a warehouse parking lot because he wanted to see a girl who worked there,he was riding it through a warehouse parking lot
he was attracted to her,he wanted to see a girl who worked there because he was attracted to her,he wanted to see a girl who worked there
he wants to start gardening,Jack read a book about gardening because he wants to start gardening,Jack read a book about gardening
he wants to eat healthier,he wants to start gardening because he wants to eat healthier,he wants to start gardening
his doctor said he should improve his diet,he wants to eat healthier because his doctor said he should improve his diet,he wants to eat healthier
his exam and reports weren't so positive,his doctor said he should improve his diet because his exam and reports weren't so positive,his doctor said he should improve his diet
he doesn't exercise or eat too healthily,his exam and reports weren't so positive because he doesn't exercise or eat too healthily,his exam and reports weren't so positive
she needed to send a letter,Jane went to the post office because she needed to send a letter,Jane went to the post office
her brother's birthday was soon,she needed to send a letter because her brother's birthday was soon,she needed to send a letter
he was born on a date close to the present date,her brother's birthday was soon because he was born on a date close to the present date,her brother's birthday was soon
that is when his mother gave birth to him,he was born on a date close to the present date because that is when his mother gave birth to him,he was born on a date close to the present date
it was a workday,Maya drove to work because it was a workday,Maya drove to work
it is Monday,it was a workday because it is Monday,it was a workday
her old one fell and broke,Meg bought a new computer because her old one fell and broke,Meg bought a new computer
she didn't set it securely on the counter,her old one fell and broke because she didn't set it securely on the counter,her old one fell and broke
she was in a hurry,she didn't set it securely on the counter because she was in a hurry,she didn't set it securely on the counter
she was late getting to work,she was in a hurry because she was late getting to work,she was in a hurry
her alarm didn't go off,she was late getting to work because her alarm didn't go off,she was late getting to work
it is damaged and he needs it to get places,Sam repaired his bicycle because it is damaged and he needs it to get places,Sam repaired his bicycle
he was hungry,Tom cooked dinner because he was hungry,Tom cooked dinner
he didn't eat lunch,he was hungry because he didn't eat lunch,he was hungry
he was too busy to eat,he didn't eat lunch because he was too busy to eat,he didn't eat lunch
he had an important project due,he was too busy to eat because he had an important project due,he was too busy to eat
he was given the responsibility 2 weeks earlier,he had an important project due because he was given the responsibility 2 weeks earlier,he had an important project due
the sink was piled high with dirty dishes,Alex did the dishes because the sink was piled high with dirty dishes,Alex did the dishes
he had been too busy to wash them this week,the sink was piled high with dirty dishes because he had been too busy to wash them this week,the sink was piled high with dirty dishes
he had more than his usual commitments,he had been too busy to wash them this week because he had more than his usual commitments,he had been too busy to wash them this week
it turned out that a lot of responsibilities fell heavy this week,he had more than his usual commitments because it turned out that a lot of responsibilities fell heavy this week,he had more than his usual commitments
it was simply random happenstance,it turned out that a lot of responsibilities fell heavy this week because it was simply random happenstance,it turned out that a lot of responsibilities fell heavy this week
she was hungry,Amy ate a sandwich because she was hungry,Amy ate a sandwich
she skipped breakfast,she was hungry because she skipped breakfast,she was hungry
she didn't have time to eat,she skipped breakfast because she didn't have time to eat,she skipped breakfast
she overslept and was late for school,she didn't have time to eat because she overslept and was late for school,she didn't have time to eat
she stayed up late studying for her test,she overslept and was late for school because she stayed up late studying for her test,she overslept and was late for school
he wanted to plant a garden in his backyard,Jack read a book about gardening because he wanted to plant a garden in his backyard,Jack read a book about gardening
he felt like starting a new hobby,he wanted to plant a garden in his backyard because he felt like starting a new hobby,he wanted to plant a garden in his backyard
he was bored with his life,he felt like starting a new hobby because he was bored with his life,he felt like starting a new hobby
it had become too routine,he was bored with his life because it had become too routine,he was bored with his life
she had an 8 hour shift today,Maya drove to work because she had an 8 hour shift today,Maya drove to work
that is how the manager scheduled her,she had an 8 hour shift today because that is how the manager scheduled her,she had an 8 hour shift today
she was one of the few people available to work that day,that is how the manager scheduled her because she was one of the few people available to work that day,that is how the manager scheduled her
most of the employees ask for Sunday off,she was one of the few people available to work that day because most of the employees ask for Sunday off,she was one of the few people available to work that day
they go to church and or like watching sports that day,most of the employees ask for Sunday off because they go to church and or like watching sports that day,most of the employees ask for Sunday off
the chain slipped off the other day when riding home,Sam repaired his bicycle because the chain slipped off the other day when riding home,Sam repaired his bicycle
he shifted gears to fast,the chain slipped off the other day when riding home because he shifted gears to fast,the chain slipped off the other day when riding home
he was somewhat careless,he shifted gears to fast because he was somewhat careless,he shifted gears to fast
it had been a long day and he was tired,he was somewhat careless because it had been a long day and he was tired,he was somewhat careless
he worked a full shift and then stayed late at his job,it had been a long day and he was tired because he worked a full shift and then stayed late at his job,it had been a long day and he was tired
she was hungry,Amy ate a sandwich because she was hungry,Amy ate a sandwich
she hadn't eaten since breakfast,she was hungry because she hadn't eaten since breakfast,she was hungry
there was no time to eat,she hadn't eaten since breakfast because there was no time to eat,she hadn't eaten since breakfast
she was at work,there was no time to eat because she was at work,there was no time to eat
she has a job,she was at work because she has a job,she was at work
he was interested in starting a garden,Jack read a book about gardening because he was interested in starting a garden,Jack read a book about gardening
he wanted to cook with fresh vegetables,he was interested in starting a garden because he wanted to cook with fresh vegetables,he was interested in starting a garden
he wanted to eat a healthier diet,he wanted to cook with fresh vegetables because he wanted to eat a healthier diet,he wanted to cook with fresh vegetables
he wanted to maintain his health,he wanted to eat a healthier diet because he wanted to maintain his health,he wanted to eat a healthier diet
he was low on milk,John went to the store because he was low on milk,John went to the store
he had been using a lot of milk lately,he was low on milk because he had been using a lot of milk lately,he was low on milk
he was drinking more coffee and he liked it better with a lot of milk,he had been using a lot of milk lately because he was drinking more coffee and he liked it better with a lot of milk,he had been using a lot of milk lately
He was having trouble waking up in the morning,he was drinking more coffee and he liked it better with a lot of milk because He was having trouble waking up in the morning,he was drinking more coffee and he liked it better with a lot of milk
he was staying up too late at night,He was having trouble waking up in the morning because he was staying up too late at night,He was having trouble waking up in the morning
it was too far to walk,Maya drove to work because it was too far to walk,Maya drove to work
she couldn't find a job closer to her home,it was too far to walk because she couldn't find a job closer to her home,it was too far to walk
she lived in a bedroom community,she couldn't find a job closer to her home because she lived in a bedroom community,she couldn't find a job closer to her home
she enjoyed the peace and quiet,she lived in a bedroom community because she enjoyed the peace and quiet,she lived in a bedroom community
she was able to relax better in quiet,she enjoyed the peace and quiet because she was able to relax better in quiet,she enjoyed the peace and quiet
he was hungry,Tom cooked dinner because he was hungry,Tom cooked dinner
he hadn't eaten since lunch,he was hungry because he hadn't eaten since lunch,he was hungry
he doesn't like to snack between meals,he hadn't eaten since lunch because he doesn't like to snack between meals,he hadn't eaten since lunch
snacking leads to weight gain,he doesn't like to snack between meals because snacking leads to weight gain,he doesn't like to snack between meals
it adds more calories to burn off,snacking leads to weight gain because it adds more calories to burn off,snacking leads to weight gain
he did not like messes,Alex did the dishes because he did not like messes,Alex did the dishes
his mothe taught him to be clean,he did not like messes because his mothe taught him to be clean,he did not like messes
it was what she had been taught,his mothe taught him to be clean because it was what she had been taught,his mothe taught him to be clean
her mother liked cleanliness,it was what she had been taught because her mother liked cleanliness,it was what she had been taught
she just did,her mother liked cleanliness because she just did,her mother liked cleanliness
he wanted to plant a garden,Jack read a book about gardening because he wanted to plant a garden,Jack read a book about gardening
he wanted organic vegetables,he wanted to plant a garden because he wanted organic vegetables,he wanted to plant a garden
they were healthier,he wanted organic vegetables because they were healthier,he wanted organic vegetables
they did not have pesticides on them,they were healthier because they did not have pesticides on them,they were healthier
Jack would not use them,they did not have pesticides on them because Jack would not use them,they did not have pesticides on them
she needed stamps,Jane went to the post office because she needed stamps,Jane went to the post office
she wanted to mail sone postcards,she needed stamps because she wanted to mail sone postcards,she needed stamps
she was on vacation,she wanted to mail sone postcards because she was on vacation,she wanted to mail sone postcards
it was summer,she was on vacation because it was summer,she was on vacation
it was July,it was summer because it was July,it was summer
it was Monday,Maya drove to work because it was Monday,Maya drove to work
yesterday was Sunday,it was Monday because yesterday was Sunday,it was Monday
the day before was Saturday,yesterday was Sunday because the day before was Saturday,yesterday was Sunday
she needed one,Meg bought a new computer because she needed one,Meg bought a new computer
she was in school,she needed one because she was in school,she needed one
she wanted to better herself,she was in school because she wanted to better herself,she was in school
she wanted to travel,she wanted to better herself because she wanted to travel,she wanted to better herself
she wanted to see the world,she wanted to travel because she wanted to see the world,she wanted to travel
she was hungry,Amy ate a sandwich because she was hungry,Amy ate a sandwich
she hadn't eaten recently,she was hungry because she hadn't eaten recently,she was hungry
she was busy,she hadn't eaten recently because she was busy,she hadn't eaten recently
she was working,she was busy because she was working,she was busy
she needs to provide for herself,she was working because she needs to provide for herself,she was working
he is starting a garden,Jack read a book about gardening because he is starting a garden,Jack read a book about gardening
he wants to grow his own food,he is starting a garden because he wants to grow his own food,he is starting a garden
he prefers organic,he wants to grow his own food because he prefers organic,he wants to grow his own food
its free of pesticides,he prefers organic because its free of pesticides,he prefers organic
he doesnt use any,its free of pesticides because he doesnt use any,its free of pesticides
she had a package to send,Jane went to the post office because she had a package to send,Jane went to the post office
she had a gift for someone but they were to far for her to bring it herself,she had a package to send because she had a gift for someone but they were to far for her to bring it herself,she had a package to send
they lived in another state,she had a gift for someone but they were to far for her to bring it herself because they lived in another state,she had a gift for someone but they were to far for her to bring it herself
they moved,they lived in another state because they moved,they lived in another state
thats where the work was,they moved because thats where the work was,they moved
she needed to get to work,Maya drove to work because she needed to get to work,Maya drove to work
her job requires her to be there,she needed to get to work because her job requires her to be there,she needed to get to work
thats where she does her work,her job requires her to be there because thats where she does her work,her job requires her to be there
thats her job,thats where she does her work because thats her job,thats where she does her work
her old one was obsolete ,Meg bought a new computer because her old one was obsolete ,Meg bought a new computer
technology is ever changing,her old one was obsolete  because technology is ever changing,her old one was obsolete 
developers come up with new technology frquently,technology is ever changing because developers come up with new technology frquently,technology is ever changing
consumers want it,developers come up with new technology frquently because consumers want it,developers come up with new technology frquently
they need it,consumers want it because they need it,consumers want it
they were dirty,Alex did the dishes because they were dirty,Alex did the dishes
they had been used,they were dirty because they had been used,they were dirty
Alex's family ate dinner on these dishes,they had been used because Alex's family ate dinner on these dishes,they had been used
Alex's mother cooked dinner and they needed to eat on something,Alex's family ate dinner on these dishes because Alex's mother cooked dinner and they needed to eat on something,Alex's family ate dinner on these dishes
people need something to eat on,Alex's mother cooked dinner and they needed to eat on something because people need something to eat on,Alex's mother cooked dinner and they needed to eat on something
Amy was hungry,Amy ate a sandwich because Amy was hungry,Amy ate a sandwich
she handn't eaten since breakfast,Amy was hungry because she handn't eaten since breakfast,Amy was hungry
she was at work,she handn't eaten since breakfast because she was at work,she handn't eaten since breakfast
she had bills to pay so she worked for a living,she was at work because she had bills to pay so she worked for a living,she was at work
things she needs to get by in life cost money,she had bills to pay so she worked for a living because things she needs to get by in life cost money,she had bills to pay so she worked for a living
Jane had to mail a package,Jane went to the post office because Jane had to mail a package,Jane went to the post office
her boyfriend lived on the other side of the country,Jane had to mail a package because her boyfriend lived on the other side of the country,Jane had to mail a package
they met on the internet,her boyfriend lived on the other side of the country because they met on the internet,her boyfriend lived on the other side of the country
she was shy and akward and had trouble dealing with people in person,they met on the internet because she was shy and akward and had trouble dealing with people in person,they met on the internet
she had a large forehead which made her self conscious,she was shy and akward and had trouble dealing with people in person because she had a large forehead which made her self conscious,she was shy and akward and had trouble dealing with people in person
John needed beer,John went to the store because John needed beer,John went to the store
he was going to watch the game,John needed beer because he was going to watch the game,John needed beer
his team was playing,he was going to watch the game because his team was playing,he was going to watch the game
the NFL scheduled a game involving his team,his team was playing because the NFL scheduled a game involving his team,his team was playing
her old computer was slow,Meg bought a new computer because her old computer was slow,Meg bought a new computer
she had downloaded malware,her old computer was slow because she had downloaded malware,her old computer was slow
she thought 'bonzi buddy' was cute so she installed it,she had downloaded malware because she thought 'bonzi buddy' was cute so she installed it,she had downloaded malware
it was a lovable character that talked to her while she surfed the net,she thought 'bonzi buddy' was cute so she installed it because it was a lovable character that talked to her while she surfed the net,she thought 'bonzi buddy' was cute so she installed it
the malware programmers thought people were more likely to install their malware if they disguised it as something that it wasn't,it was a lovable character that talked to her while she surfed the net because the malware programmers thought people were more likely to install their malware if they disguised it as something that it wasn't,it was a lovable character that talked to her while she surfed the net
she was hungry,Amy ate a sandwich because she was hungry,Amy ate a sandwich
the body requires nutrients,she was hungry because the body requires nutrients,she was hungry
nutrients provide energy,the body requires nutrients because nutrients provide energy,the body requires nutrients
everything begins with physics,nutrients provide energy because everything begins with physics,nutrients provide energy
the universe formed a certain way,everything begins with physics because the universe formed a certain way,everything begins with physics
he wanted to buy things,John went to the store because he wanted to buy things,John went to the store
they make his life easier,he wanted to buy things because they make his life easier,he wanted to buy things
they are technological advances,they make his life easier because they are technological advances,they make his life easier
they began as an idea,they are technological advances because they began as an idea,they are technological advances
she wanted money,Maya drove to work because she wanted money,Maya drove to work
money can be exchanged for goods and services,she wanted money because money can be exchanged for goods and services,she wanted money
humans created something called the marketplace,money can be exchanged for goods and services because humans created something called the marketplace,money can be exchanged for goods and services
it makes it easier to survive,humans created something called the marketplace because it makes it easier to survive,humans created something called the marketplace
technology advances,it makes it easier to survive because technology advances,it makes it easier to survive
she wanted newer technology,Meg bought a new computer because she wanted newer technology,Meg bought a new computer
She cares about social status,she wanted newer technology because She cares about social status,she wanted newer technology
It is human nature to care about social status,She cares about social status because It is human nature to care about social status,She cares about social status
humans are a social species,It is human nature to care about social status because humans are a social species,It is human nature to care about social status
they find it easier to survive that way,humans are a social species because they find it easier to survive that way,humans are a social species
he was hungry,Tom cooked dinner because he was hungry,Tom cooked dinner
his body required nutrients,he was hungry because his body required nutrients,he was hungry
his biochemical structure needs energy,his body required nutrients because his biochemical structure needs energy,his body required nutrients
otherwise he would die,his biochemical structure needs energy because otherwise he would die,his biochemical structure needs energy
he wouldn't have energy,otherwise he would die because he wouldn't have energy,otherwise he would die
the were dirty,Alex did the dishes because the were dirty,Alex did the dishes
they were used gor dinner,the were dirty because they were used gor dinner,the were dirty
they had to eat un plates,they were used gor dinner because they had to eat un plates,they were used gor dinner
the dinner was done,they had to eat un plates because the dinner was done,they had to eat un plates
he finished cooking,the dinner was done because he finished cooking,the dinner was done
he wanted to plant,Jack read a book about gardening because he wanted to plant,Jack read a book about gardening
he want fresh vegetables,he wanted to plant because he want fresh vegetables,he wanted to plant
he can't afford the ones they sell on the supermarket,he want fresh vegetables because he can't afford the ones they sell on the supermarket,he want fresh vegetables
they are to high price,he can't afford the ones they sell on the supermarket because they are to high price,he can't afford the ones they sell on the supermarket
he needed some supplies,John went to the store because he needed some supplies,John went to the store
his house ran out of the supplies,he needed some supplies because his house ran out of the supplies,he needed some supplies
they were used the day before,his house ran out of the supplies because they were used the day before,his house ran out of the supplies
the house needed cleaning,they were used the day before because the house needed cleaning,they were used the day before
the house was dirty,the house needed cleaning because the house was dirty,the house needed cleaning
she needs to pay her rent,Maya drove to work because she needs to pay her rent,Maya drove to work
she needs a place to live,she needs to pay her rent because she needs a place to live,she needs to pay her rent
she can't live on the street,she needs a place to live because she can't live on the street,she needs a place to live
she might get wet,she can't live on the street because she might get wet,she can't live on the street
there's no were to hide if it rains,she might get wet because there's no were to hide if it rains,she might get wet
it got broken,Sam repaired his bicycle because it got broken,Sam repaired his bicycle
he was using it,it got broken because he was using it,it got broken
he needed to get to school,he was using it because he needed to get to school,he was using it
he needs to learn,he needed to get to school because he needs to learn,he needed to get to school
he will get a job eventually,he needs to learn because he will get a job eventually,he needs to learn
his wife cooks and he cleans,Alex did the dishes because his wife cooks and he cleans,Alex did the dishes
he's not a good cook and they split the chores,his wife cooks and he cleans because he's not a good cook and they split the chores,his wife cooks and he cleans
he wants to help out around the house,he's not a good cook and they split the chores because he wants to help out around the house,he's not a good cook and they split the chores
so that he doesn't feel useless,he wants to help out around the house because so that he doesn't feel useless,he wants to help out around the house
she wanted something healthy,Amy ate a sandwich because she wanted something healthy,Amy ate a sandwich
she is trying to lose to weight,she wanted something healthy because she is trying to lose to weight,she wanted something healthy
she gained a few pounds over the winter,she is trying to lose to weight because she gained a few pounds over the winter,she is trying to lose to weight
she injured her hip while running and had to take time off,she gained a few pounds over the winter because she injured her hip while running and had to take time off,she gained a few pounds over the winter
she was training for a marathon,she injured her hip while running and had to take time off because she was training for a marathon,she injured her hip while running and had to take time off
to mail her mother a card,Jane went to the post office because to mail her mother a card,Jane went to the post office
it's her mother's birthday soon,to mail her mother a card because it's her mother's birthday soon,to mail her mother a card
she was born on that day 60 years ago,it's her mother's birthday soon because she was born on that day 60 years ago,it's her mother's birthday soon
her parents conceived her then,she was born on that day 60 years ago because her parents conceived her then,she was born on that day 60 years ago
they were in love and wanted to start a family,her parents conceived her then because they were in love and wanted to start a family,her parents conceived her then
her laptop was stolen,Meg bought a new computer because her laptop was stolen,Meg bought a new computer
she left it unattended at the coffee shop,her laptop was stolen because she left it unattended at the coffee shop,her laptop was stolen
she went to grab a refill of coffee,she left it unattended at the coffee shop because she went to grab a refill of coffee,she left it unattended at the coffee shop
she needed more caffeine to stay awake to study,she went to grab a refill of coffee because she needed more caffeine to stay awake to study,she went to grab a refill of coffee
so she can get an A on the exam,she needed more caffeine to stay awake to study because so she can get an A on the exam,she needed more caffeine to stay awake to study
he was hungry,Tom cooked dinner because he was hungry,Tom cooked dinner
he did not eat since breakfast,he was hungry because he did not eat since breakfast,he was hungry
he had meetings all day at work,he did not eat since breakfast because he had meetings all day at work,he did not eat since breakfast
he's working on a big project,he had meetings all day at work because he's working on a big project,he had meetings all day at work
the client wanted everything done very quickly,he's working on a big project because the client wanted everything done very quickly,he's working on a big project
his gf cooked,Alex did the dishes because his gf cooked,Alex did the dishes
they needed to eat something,his gf cooked because they needed to eat something,his gf cooked
humans need food to make eneregy,they needed to eat something because humans need food to make eneregy,they needed to eat something
otherwise people would die,humans need food to make eneregy because otherwise people would die,humans need food to make eneregy
they won't have any food to make energey,otherwise people would die because they won't have any food to make energey,otherwise people would die
she was hungry,Amy ate a sandwich because she was hungry,Amy ate a sandwich
sh hasn't eaten since lunch,she was hungry because sh hasn't eaten since lunch,she was hungry
she was caught up with work,sh hasn't eaten since lunch because she was caught up with work,sh hasn't eaten since lunch
her client was being stupid and caused a lot of issue,she was caught up with work because her client was being stupid and caused a lot of issue,she was caught up with work
he wanted plant some stuff in his backyard,Jack read a book about gardening because he wanted plant some stuff in his backyard,Jack read a book about gardening
he just recently bought a house with a backyard,he wanted plant some stuff in his backyard because he just recently bought a house with a backyard,he wanted plant some stuff in his backyard
his had a new born kid and they needed a bigger home,he just recently bought a house with a backyard because his had a new born kid and they needed a bigger home,he just recently bought a house with a backyard
he loves his wife and they wanted to start a family together,his had a new born kid and they needed a bigger home because he loves his wife and they wanted to start a family together,his had a new born kid and they needed a bigger home
they felt in love,he loves his wife and they wanted to start a family together because they felt in love,he loves his wife and they wanted to start a family together
he needs to make money,Maya drove to work because he needs to make money,Maya drove to work
he needs to afford his rent,he needs to make money because he needs to afford his rent,he needs to make money
he needs to live there ,he needs to afford his rent because he needs to live there ,he needs to afford his rent
if he doesn't live there he won't have a place to live,he needs to live there  because if he doesn't live there he won't have a place to live,he needs to live there 
he doesn't want to be homless,if he doesn't live there he won't have a place to live because he doesn't want to be homless,if he doesn't live there he won't have a place to live
her old computer was getting slow ,Meg bought a new computer because her old computer was getting slow ,Meg bought a new computer
she downloaded a lot of crap on it,her old computer was getting slow  because she downloaded a lot of crap on it,her old computer was getting slow 
she doesn't know how to clean up her computer,she downloaded a lot of crap on it because she doesn't know how to clean up her computer,she downloaded a lot of crap on it
she's not that proficient in computer,she doesn't know how to clean up her computer because she's not that proficient in computer,she doesn't know how to clean up her computer
she never learn them,she's not that proficient in computer because she never learn them,she's not that proficient in computer
the dishes were dirty,Alex did the dishes because the dishes were dirty,Alex did the dishes
the family had eaten dinner,the dishes were dirty because the family had eaten dinner,the dishes were dirty
they were all hungry,the family had eaten dinner because they were all hungry,the family had eaten dinner
they had not eaten for a long time,they were all hungry because they had not eaten for a long time,they were all hungry
they had had a busy day,they had not eaten for a long time because they had had a busy day,they had not eaten for a long time
she was hungry,Amy ate a sandwich because she was hungry,Amy ate a sandwich
she had not had breakfast,she was hungry because she had not had breakfast,she was hungry
she had overslept,she had not had breakfast because she had overslept,she had not had breakfast
she had been up all night,she had overslept because she had been up all night,she had overslept
she had a paper to write,she had been up all night because she had a paper to write,she had been up all night
he wanted to start his own garden,Jack read a book about gardening because he wanted to start his own garden,Jack read a book about gardening
he wanted to grow fresh vegetables,he wanted to start his own garden because he wanted to grow fresh vegetables,he wanted to start his own garden
he was fat and worried about his health,he wanted to grow fresh vegetables because he was fat and worried about his health,he wanted to grow fresh vegetables
he only ate junk food,he was fat and worried about his health because he only ate junk food,he was fat and worried about his health
he did not know how to cook for himself,he only ate junk food because he did not know how to cook for himself,he only ate junk food
