subject	explanation	seed	level	grammaticality	age	language	comments	sent_with_corefs
5	he was somewhat careless	Sam repaired his bicycle	2	good	43	English	This was creative and cool.	Sam was somewhat careless
5	it had been a long day and he was tired	Sam repaired his bicycle	3	good	43	English	This was creative and cool.	it had been a long day and Sam was tired
5	he worked a full shift and then stayed late at his job	Sam repaired his bicycle	4	unknown	43	English	This was creative and cool.	Sam worked a full shift and then stayed late at Sam's job
5	she was hungry	Amy ate a sandwich	0	good	43	English	This was creative and cool.	Amy was hungry
5	she skipped breakfast	Amy ate a sandwich	1	good	43	English	This was creative and cool.	Amy skipped breakfast
5	she didn't have time to eat	Amy ate a sandwich	2	good	43	English	This was creative and cool.	Amy didn't have time to eat
5	she overslept and was late for school	Amy ate a sandwich	3	good	43	English	This was creative and cool.	Amy overslept and was late for school
5	she stayed up late studying for her test	Amy ate a sandwich	4	unknown	43	English	This was creative and cool.	Amy overslept stayed up late studying for Amy overslept test
5	she had an 8 hour shift today	Maya drove to work	0	good	43	English	This was creative and cool.	Maya had an 8 hour shift today
5	that is how the manager scheduled her	Maya drove to work	1	good	43	English	This was creative and cool.	that is how the manager scheduled Maya
5	she was one of the few people available to work that day	Maya drove to work	2	good	43	English	This was creative and cool.	Maya was one of the few people available to work that day
5	most of the employees ask for Sunday off	Maya drove to work	3	good	43	English	This was creative and cool.	most of the employees ask for Sunday off
5	they go to church and or like watching sports that day	Maya drove to work	4	unknown	43	English	This was creative and cool.	the employees go to church and or like watching sports that day
5	the sink was piled high with dirty dishes	Alex did the dishes	0	good	43	English	This was creative and cool.	the sink was piled high with dirty dishes
5	he had been too busy to wash them this week	Alex did the dishes	1	good	43	English	This was creative and cool.	Alex had been too busy to wash them this week
5	he had more than his usual commitments	Alex did the dishes	2	good	43	English	This was creative and cool.	Alex had more than Alex's usual commitments
5	it turned out that a lot of responsibilities fell heavy this week	Alex did the dishes	3	good	43	English	This was creative and cool.	it turned out that a lot of responsibilities fell heavy this week
5	it was simply random happenstance	Alex did the dishes	4	unknown	43	English	This was creative and cool.	a lot of responsibilities was simply random happenstance
5	he wanted to plant a garden in his backyard	Jack read a book about gardening	0	good	43	English	This was creative and cool.	Jack wanted to plant a garden in Jack's backyard
5	he felt like starting a new hobby	Jack read a book about gardening	1	good	43	English	This was creative and cool.	Jack felt like starting a new hobby
5	he was bored with his life	Jack read a book about gardening	2	good	43	English	This was creative and cool.	Jack was bored with Jack's life
5	it had become too routine	Jack read a book about gardening	3	unknown	43	English	This was creative and cool.	Jack 's life had become too routine
6	he was low on milk	John went to the store	0	good	41	English		John was low on milk
6	he had been using a lot of milk lately.	John went to the store	1	good	41	English		John had been using a lot of milk lately
6	he was drinking more coffee and he liked it better with a lot of milk.	John went to the store	2	good	41	English		John was drinking more coffee and John liked it better with a lot of milk
6	He was having trouble waking up in the morning	John went to the store	3	good	41	English		He was having trouble waking up in the morning
6	he was staying up too late at night	John went to the store	4	unknown	41	English		John was staying up too late at night
6	he was hungry	Tom cooked dinner	0	good	41	English		Tom was hungry
6	he hadn't eaten since lunch	Tom cooked dinner	1	good	41	English		Tom hadn't eaten since lunch
6	he doesn't like to snack between meals	Tom cooked dinner	2	good	41	English		Tom doesn't like to snack between meals
6	snacking leads to weight gain	Tom cooked dinner	3	good	41	English		snacking leads to weight gain
6	it adds more calories to burn off	Tom cooked dinner	4	unknown	41	English		weight gain adds more calories to burn off
6	it was too far to walk	Maya drove to work	0	good	41	English		it was too far to walk
6	she couldn't find a job closer to her home	Maya drove to work	1	good	41	English		Maya couldn't find a job closer to Maya home
6	she lived in a bedroom community	Maya drove to work	2	good	41	English		Maya lived in a bedroom community
6	she enjoyed the peace and quiet	Maya drove to work	3	good	41	English		Maya enjoyed the peace and quiet
6	she was able to relax better in quiet.	Maya drove to work	4	unknown	41	English		Maya was able to relax better in quiet
6	she was hungry	Amy ate a sandwich	0	good	41	English		Amy was hungry
6	she hadn't eaten since breakfast	Amy ate a sandwich	1	good	41	English		Amy hadn't eaten since breakfast
6	there was no time to eat	Amy ate a sandwich	2	good	41	English		there was no time to eat
6	she was at work	Amy ate a sandwich	3	good	41	English		Amy was at work
6	she has a job	Amy ate a sandwich	4	unknown	41	English		Amy has a job
6	he was interested in starting a garden	Jack read a book about gardening	0	good	41	English		Jack was interested in starting a garden
6	he wanted to cook with fresh vegetables	Jack read a book about gardening	1	good	41	English		Jack wanted to cook with fresh vegetables
6	he wanted to eat a healthier diet	Jack read a book about gardening	2	good	41	English		Jack wanted to eat a healthier diet
6	he wanted to maintain his health	Jack read a book about gardening	3	unknown	41	English		Jack wanted to maintain Jack's health
7	she needed one	Meg bought a new computer	0	good	35	English		Meg needed one
7	she was in school	Meg bought a new computer	1	good	35	English		Meg was in school
7	she wanted to better herself	Meg bought a new computer	2	good	35	English		Meg wanted to better herself
7	she wanted to travel	Meg bought a new computer	3	good	35	English		Meg wanted to travel
7	she wanted to see the world	Meg bought a new computer	4	unknown	35	English		Meg wanted to see the world
7	he wanted to plant a garden	Jack read a book about gardening	0	good	35	English		Jack wanted to plant a garden
7	he wanted organic vegetables	Jack read a book about gardening	1	good	35	English		Jack wanted organic vegetables
7	they were healthier	Jack read a book about gardening	2	good	35	English		they were healthier
7	they did not have pesticides on them	Jack read a book about gardening	3	good	35	English		they did not have pesticides on them
7	Jack would not use them	Jack read a book about gardening	4	unknown	35	English		Jack would not use them
7	he did not like messes	Alex did the dishes	0	good	35	English		Alex did not like messes
7	his mothe taught him to be clean	Alex did the dishes	1	good	35	English		Alex's mothe taught him to be clean
7	it was what she had been taught	Alex did the dishes	2	good	35	English		it was what she had been taught
7	her mother liked cleanliness	Alex did the dishes	3	good	35	English		her mother liked cleanliness
7	she just did	Alex did the dishes	4	unknown	35	English		her mother just did
7	she needed stamps	Jane went to the post office	0	good	35	English		Jane needed stamps
7	she wanted to mail sone postcards	Jane went to the post office	1	good	35	English		Jane wanted to mail sone postcards
7	she was on vacation	Jane went to the post office	2	good	35	English		Jane was on vacation
7	it was summer	Jane went to the post office	3	good	35	English		the post office was summer
7	it was July	Jane went to the post office	4	unknown	35	English		summer was July
7	it was Monday	Maya drove to work	0	good	35	English		it was Monday
7	yesterday was Sunday	Maya drove to work	1	good	35	English		yesterday was Sunday
7	the day before was Saturday	Maya drove to work	2	good	35	English		the day before was Saturday
7	NO_RESPONSE	Maya drove to work	3	unknown	35	English		NO_RESPONSE
8	her old one was obsolete 	Meg bought a new computer	0	good	31	english		Meg old one was obsolete 
8	technology is ever changing	Meg bought a new computer	1	good	31	english		technology is ever changing
8	developers come up with new technology frquently	Meg bought a new computer	2	good	31	english		developers come up with new technology frquently
8	consumers want it	Meg bought a new computer	3	good	31	english		consumers want Meg old one
8	they need it	Meg bought a new computer	4	unknown	31	english		they need consumers old one
8	she was hungry	Amy ate a sandwich	0	good	31	english		Amy was hungry
8	she hadn't eaten recently	Amy ate a sandwich	1	good	31	english		Amy hadn't eaten recently
8	she was busy	Amy ate a sandwich	2	good	31	english		Amy was busy
8	she was working	Amy ate a sandwich	3	good	31	english		Amy was working
8	she needs to provide for herself	Amy ate a sandwich	4	unknown	31	english		Amy needs to provide for herself
8	she had a package to send	Jane went to the post office	0	good	31	english		Jane had a package to send
8	she had a gift for someone but they were to far for her to bring it herself	Jane went to the post office	1	good	31	english		Jane had a gift for someone but they were to far for Jane to bring it herself
8	they lived in another state	Jane went to the post office	2	good	31	english		they lived in another state
8	they moved	Jane went to the post office	3	good	31	english		they moved
8	thats where the work was	Jane went to the post office	4	unknown	31	english		thats where the work was
8	he is starting a garden	Jack read a book about gardening	0	good	31	english		Jack is starting a garden
8	he wants to grow his own food	Jack read a book about gardening	1	good	31	english		Jack wants to grow Jack's own food
8	he prefers organic	Jack read a book about gardening	2	good	31	english		Jack prefers organic
8	its free of pesticides	Jack read a book about gardening	3	good	31	english		organic's free of pesticides
8	he doesnt use any	Jack read a book about gardening	4	unknown	31	english		Jack doesnt use any
8	she needed to get to work	Maya drove to work	0	good	31	english		Maya needed to get to work
8	her job requires her to be there	Maya drove to work	1	good	31	english		Maya job requires Maya to be there
8	thats where she does her work	Maya drove to work	2	good	31	english		thats where Maya does Maya work
8	thats her job	Maya drove to work	3	unknown	31	english		thats Maya job
9	they were dirty	Alex did the dishes	0	good	34	English		they were dirty
9	they had been used	Alex did the dishes	1	good	34	English		they had been used
9	Alex's family ate dinner on these dishes	Alex did the dishes	2	good	34	English		Alex's family ate dinner on these dishes
9	Alex's mother cooked dinner and they needed to eat on something	Alex did the dishes	3	good	34	English		Alex's mother cooked dinner and they needed to eat on something
9	people need something to eat on	Alex did the dishes	4	unknown	34	English		people need something to eat on
9	her old computer was slow	Meg bought a new computer	0	good	34	English		Meg old computer was slow
9	she had downloaded malware	Meg bought a new computer	1	good	34	English		Meg had downloaded malware
9	she thought 'bonzi buddy' was cute so she installed it	Meg bought a new computer	2	good	34	English		Meg thought  bonzi buddy  was cute so Meg installed Meg old computer
9	it was a lovable character that talked to her while she surfed the net	Meg bought a new computer	3	good	34	English		it was a lovable character that Meg to Meg while she surfed the net
9	the malware programmers thought people were more likely to install their malware if they disguised it as something that it wasn't	Meg bought a new computer	4	unknown	34	English		the malware programmers thought people were more likely to install their malware if they disguised it as something that it wasn't
9	Amy was hungry	Amy ate a sandwich	0	good	34	English		Amy was hungry
9	she handn't eaten since breakfast	Amy ate a sandwich	1	good	34	English		Amy handn't eaten since breakfast
9	she was at work	Amy ate a sandwich	2	good	34	English		Amy was at work
9	she had bills to pay so she worked for a living	Amy ate a sandwich	3	good	34	English		Amy had bills to pay so Amy worked for a living
9	things she needs to get by in life cost money	Amy ate a sandwich	4	unknown	34	English		things Amy needs to get by in life cost money
9	Jane had to mail a package	Jane went to the post office	0	good	34	English		Jane had to mail a package
9	her boyfriend lived on the other side of the country	Jane went to the post office	1	good	34	English		Jane boyfriend lived on the other side of the country
9	they met on the internet	Jane went to the post office	2	good	34	English		they met on the internet
9	she was shy and akward and had trouble dealing with people in person	Jane went to the post office	3	good	34	English		Jane was shy and akward and had trouble dealing with people in person
9	she had a large forehead which made her self conscious	Jane went to the post office	4	unknown	34	English		Jane had a large forehead which made Jane self conscious
9	John needed beer	John went to the store	0	good	34	English		John needed beer
9	he was going to watch the game	John went to the store	1	good	34	English		John was going to watch the game
9	his team was playing	John went to the store	2	good	34	English		John's team was playing
9	the NFL scheduled a game involving his team	John went to the store	3	unknown	34	English		the NFL scheduled a game involving John's team
10	she was hungry	Amy ate a sandwich	0	good	31	English	no	Amy was hungry
10	the body requires nutrients	Amy ate a sandwich	1	good	31	English	no	the body requires nutrients
10	nutrients provide energy	Amy ate a sandwich	2	good	31	English	no	nutrients provide energy
10	everything begins with physics	Amy ate a sandwich	3	good	31	English	no	everything begins with physics
10	the universe formed a certain way	Amy ate a sandwich	4	unknown	31	English	no	the universe formed a certain way
10	she wanted newer technology	Meg bought a new computer	0	good	31	English	no	Meg wanted newer technology
10	She cares about social status	Meg bought a new computer	1	good	31	English	no	She cares about social status
10	It is human nature to care about social status	Meg bought a new computer	2	good	31	English	no	It is human nature to care about social status
10	humans are a social species	Meg bought a new computer	3	good	31	English	no	humans are a social species
10	they find it easier to survive that way	Meg bought a new computer	4	unknown	31	English	no	they humans newer technology easier to survive that way
10	she wanted money	Maya drove to work	0	good	31	English	no	Maya wanted money
10	money can be exchanged for goods and services	Maya drove to work	1	good	31	English	no	money can be exchanged for goods and services
10	humans created something called the marketplace	Maya drove to work	2	good	31	English	no	humans created something called the marketplace
10	it makes it easier to survive	Maya drove to work	3	good	31	English	no	the marketplace makes the marketplace easier to survive
10	technology advances	Maya drove to work	4	unknown	31	English	no	technology advances
10	he was hungry	Tom cooked dinner	0	good	31	English	no	Tom was hungry
10	his body required nutrients	Tom cooked dinner	1	good	31	English	no	Tom's body required nutrients
10	his biochemical structure needs energy	Tom cooked dinner	2	good	31	English	no	Tom's biochemical structure needs energy
10	otherwise he would die	Tom cooked dinner	3	good	31	English	no	otherwise Tom would die
10	he wouldn't have energy	Tom cooked dinner	4	unknown	31	English	no	Tom wouldn't have energy
10	he wanted to buy things	John went to the store	0	good	31	English	no	John wanted to buy things
10	they make his life easier	John went to the store	1	good	31	English	no	they make John's life easier
10	they are technological advances	John went to the store	2	good	31	English	no	they are technological advances
10	they began as an idea	John went to the store	3	unknown	31	English	no	they began as an idea
11	the were dirty	Alex did the dishes	0	good	33	English	Cool survey	the were dirty
11	they were used gor dinner	Alex did the dishes	1	good	33	English	Cool survey	they were used gor dinner
11	they had to eat un plates	Alex did the dishes	2	good	33	English	Cool survey	the had to eat un plates
11	the dinner was done	Alex did the dishes	3	good	33	English	Cool survey	the dinner was done
11	he finished cooking	Alex did the dishes	4	unknown	33	English	Cool survey	he finished cooking
11	he needed some supplies	John went to the store	0	good	33	English	Cool survey	John needed some supplies
11	his house ran out of the supplies	John went to the store	1	good	33	English	Cool survey	John's house ran out of the supplies
11	they were used the day before	John went to the store	2	good	33	English	Cool survey	they were used the day before
11	the house needed cleaning	John went to the store	3	good	33	English	Cool survey	the house needed cleaning
11	the house was dirty	John went to the store	4	unknown	33	English	Cool survey	the house was dirty
11	she needs to pay her rent	Maya drove to work	0	good	33	English	Cool survey	Maya needs to pay Maya rent
11	she needs a place to live	Maya drove to work	1	good	33	English	Cool survey	Maya needs a place to live
11	she can't live on the street	Maya drove to work	2	good	33	English	Cool survey	Maya can t live on the street
11	she might get wet	Maya drove to work	3	good	33	English	Cool survey	Maya might get wet
11	there's no were to hide if it rains	Maya drove to work	4	unknown	33	English	Cool survey	there's no were to hide if a place rains
11	it got broken	Sam repaired his bicycle	0	good	33	English	Cool survey	his bicycle got broken
11	he was using it	Sam repaired his bicycle	1	good	33	English	Cool survey	Sam was using his bicycle
11	he needed to get to school	Sam repaired his bicycle	2	good	33	English	Cool survey	Sam needed to get to school
11	he needs to learn	Sam repaired his bicycle	3	good	33	English	Cool survey	Sam needs to learn
11	he will get a job eventually	Sam repaired his bicycle	4	unknown	33	English	Cool survey	Sam will get a job eventually
11	he wanted to plant	Jack read a book about gardening	0	good	33	English	Cool survey	Jack wanted to plant
11	he want fresh vegetables	Jack read a book about gardening	1	good	33	English	Cool survey	Jack want fresh vegetables
11	he can't afford the ones they sell on the supermarket	Jack read a book about gardening	2	good	33	English	Cool survey	Jack can t afford the ones they sell on the supermarket
11	they are to high price	Jack read a book about gardening	3	unknown	33	English	Cool survey	the ones are to high price
12	he was hungry	Tom cooked dinner	0	good	31	English	Interesting and fun experiment.	Tom was hungry
12	he did not eat since breakfast.	Tom cooked dinner	1	good	31	English	Interesting and fun experiment.	Tom did not eat since breakfast
12	he had meetings all day at work	Tom cooked dinner	2	good	31	English	Interesting and fun experiment.	Tom had meetings all day at work
12	he's working on a big project	Tom cooked dinner	3	good	31	English	Interesting and fun experiment.	Tom's working on a big project
12	the client wanted everything done very quickly	Tom cooked dinner	4	unknown	31	English	Interesting and fun experiment.	the client wanted everything done very quickly
12	she wanted something healthy	Amy ate a sandwich	0	good	31	English	Interesting and fun experiment.	Amy wanted something healthy
12	she is trying to lose to weight	Amy ate a sandwich	1	good	31	English	Interesting and fun experiment.	Amy is trying to lose to weight
12	she gained a few pounds over the winter	Amy ate a sandwich	2	good	31	English	Interesting and fun experiment.	Amy gained a few pounds over the winter
12	she injured her hip while running and had to take time off	Amy ate a sandwich	3	good	31	English	Interesting and fun experiment.	Amy injured Amy hip while running and had to take time off
12	she was training for a marathon	Amy ate a sandwich	4	unknown	31	English	Interesting and fun experiment.	Amy injured Amy hip was training for a marathon
12	her laptop was stolen	Meg bought a new computer	0	good	31	English	Interesting and fun experiment.	Meg laptop was stolen
12	she left it unattended at the coffee shop	Meg bought a new computer	1	good	31	English	Interesting and fun experiment.	Meg left Meg laptop unattended at the coffee shop
