subject	explanation	seed	level	grammaticality	age	language	comments	sent_with_corefs	baby_cavemanese	cavemanese	S	N	P	O	S'	N'	P'	O'	tense
3	the tire was flat	Sam repaired his bicycle	0	good	38	English	I had a good time with this one hope I get a good debriefing.	the tire was flat	tire flat	tire flat	tire		flat						past
3	he ran over a nail	Sam repaired his bicycle	1	good	38	English	I had a good time with this one hope I get a good debriefing.	Sam ran over a nail	Sam run	Sam run nail	Sam		run	nail					past
3	he was riding it through a warehouse parking lot	Sam repaired his bicycle	2	good	38	English	I had a good time with this one hope I get a good debriefing.	Sam was riding the tire through a warehouse parking lot	Sam ride	Sam ride lot	Sam		ride	lot					past
3	he wanted to see a girl who worked there	Sam repaired his bicycle	3	good	38	English	I had a good time with this one hope I get a good debriefing.	Sam wanted to see a girl who worked there	Sam want	Sam want see girl	Sam		want				see	girl	past
3	he was attracted to her	Sam repaired his bicycle	4	unknown	38	English	I had a good time with this one hope I get a good debriefing.	Sam was attracted to her	Sam attracted	Sam attracted she	Sam		attracted	she					past
3	she had to go in on a weekend	Maya drove to work	0	good	38	English	I had a good time with this one hope I get a good debriefing.	Maya had to go in on a weekend	maya have	maya have go in	maya		have				go	in	future
3	her boss called her and asked her to	Maya drove to work	1	good	38	English	I had a good time with this one hope I get a good debriefing.	Maya boss called Maya and asked Maya to	boss	boss			boss						past
3	they were very behind on a project	Maya drove to work	2	good	38	English	I had a good time with this one hope I get a good debriefing.	they were very behind on a project	they be	they be project	they		be	project					past
3	a winter storm had shut down their offices for several days	Maya drove to work	3	good	38	English	I had a good time with this one hope I get a good debriefing.	a winter storm had shut down their offices for several days	storm shut	storm shut day	storm		shut	day					past
3	their city wasn't prepared for snow	Maya drove to work	4	unknown	38	English	I had a good time with this one hope I get a good debriefing.	their city wasn't prepared for snow	city not prepared	city not prepared snow	city	not	prepared	snow					past
3	she was hungry	Amy ate a sandwich	0	good	38	English	I had a good time with this one hope I get a good debriefing.	Amy was hungry	Amy hungry	Amy hungry	Amy		hungry						past
3	she hadn't eaten breakfast	Amy ate a sandwich	1	good	38	English	I had a good time with this one hope I get a good debriefing.	Amy hadn't eaten breakfast	Amy not eat	Amy not eat breakfast	Amy	not	eat	breakfast					past
3	she was in a hurry this morning	Amy ate a sandwich	2	good	38	English	I had a good time with this one hope I get a good debriefing.	Amy was in a hurry this morning	Amy be	Amy be hurry	Amy		be	hurry					past
3	she was late for a meeting	Amy ate a sandwich	3	good	38	English	I had a good time with this one hope I get a good debriefing.	Amy was late for a meeting	Amy late	Amy late meeting	Amy		late	meeting					past
3	her alarm clock didn't go off	Amy ate a sandwich	4	unknown	38	English	I had a good time with this one hope I get a good debriefing.	Amy alarm clock didn't go off	clock not go	clock not go	clock	not	go						past
3	he needed to buy eggs	John went to the store	0	good	38	English	I had a good time with this one hope I get a good debriefing.	John needed to buy eggs	John need	John need buy egg	John		need				buy	egg	future
3	he wanted to make a quiche	John went to the store	1	good	38	English	I had a good time with this one hope I get a good debriefing.	John wanted to make a quiche	John want	John want make quiche	John		want				make	quiche	future
3	his girlfriend was coming over that morning	John went to the store	2	good	38	English	I had a good time with this one hope I get a good debriefing.	John's girlfriend was coming over that morning	girlfriend come	girlfriend come morning	girlfriend		come	morning					past
3	she wanted to see him before she left on a trip	John went to the store	3	unknown	38	English	I had a good time with this one hope I get a good debriefing.	John 's girlfriend wanted to see John before John 's girlfriend left on a trip	girlfriend want	girlfriend want see John	girlfriend		want				see	John	past
4	it is damaged and he needs it to get places	Sam repaired his bicycle	0	bad	27	English		his bicycle is damaged and Sam needs his bicycle to get places	bicycle damaged	bicycle damaged	bicycle		damaged						past
4	NO_RESPONSE	Sam repaired his bicycle	1	unknown	27	English		NO_RESPONSE	no_response	no_response			no_response						future
4	her old one fell and broke	Meg bought a new computer	0	good	27	English		Meg old one fell and broke	Meg fall	Meg fall	Meg		fall						past
4	she didn't set it securely on the counter	Meg bought a new computer	1	good	27	English		Meg old one didn't set one securely on the counter	Meg not set	Meg not set counter	Meg	not	set	counter					past
4	she was in a hurry	Meg bought a new computer	2	good	27	English		Meg was in a hurry	Meg be	Meg be hurry	Meg		be	hurry					past
4	she was late getting to work	Meg bought a new computer	3	good	27	English		Meg was late getting to work	Meg get	Meg get work	Meg		get				work		past
4	her alarm didn't go off	Meg bought a new computer	4	unknown	27	English		Meg alarm didn't go off	alarm not go	alarm not go	alarm	not	go						past
4	it was a workday	Maya drove to work	0	good	27	English		it was a workday	it be	it be	it		be						past
4	it is Monday	Maya drove to work	1	good	27	English		it is Monday	it be	it be	it		be						present
4	NO_RESPONSE	Maya drove to work	2	unknown	27	English		NO_RESPONSE	no_response	no_response			no_response						future
4	he wants to start gardening	Jack read a book about gardening	0	good	27	English		Jack wants to start gardening	Jack want	Jack want start gardening	Jack		want				start	gardening	future
4	he wants to eat healthier	Jack read a book about gardening	1	good	27	English		Jack wants to eat healthier	Jack want	Jack want eat healthier	Jack		want				eat	healthier	future
4	his doctor said he should improve his diet	Jack read a book about gardening	2	good	27	English		Jack's doctor said he should improve his diet	doctor say	doctor say	doctor		say						past
4	his exam and reports weren't so positive	Jack read a book about gardening	3	good	27	English		Jack 's doctor's exam and reports weren t so positive	positive	positive			positive						future
4	he doesn't exercise or eat too healthily	Jack read a book about gardening	4	unknown	27	English		he doesn't exercise or eat too healthily	he not exercise	he not exercise	he	not	exercise						present
4	he was hungry	Tom cooked dinner	0	good	27	English		Tom was hungry	Tom hungry	Tom hungry	Tom		hungry						past
4	he didn't eat lunch	Tom cooked dinner	1	good	27	English		Tom didn't eat lunch	Tom not eat	Tom not eat lunch	Tom	not	eat	lunch					past
4	he was too busy to eat	Tom cooked dinner	2	good	27	English		Tom was too busy to eat	Tom busy	Tom busy eat	Tom		busy				eat		past
4	he had an important project due	Tom cooked dinner	3	good	27	English		Tom had an important project due	Tom have	Tom have project due	Tom		have		project		due		past
4	he was given the responsibility 2 weeks earlier	Tom cooked dinner	4	unknown	27	English		Tom was given the responsibility 2 weeks earlier	Tom given	Tom given responsibility	Tom		given	responsibility					past
4	she needed to send a letter	Jane went to the post office	0	good	27	English		Jane needed to send a letter	Jane need	Jane need send letter	Jane		need				send	letter	future
4	her brother's birthday was soon	Jane went to the post office	1	good	27	English		Jane brother's birthday was soon	birthday be	birthday be	birthday		be						past
4	he was born on a date close to the present date	Jane went to the post office	2	good	27	English		Jane brother was born on a date close to the present date	brother born	brother born date	brother		born	date					past
4	that is when his mother gave birth to him	Jane went to the post office	3	unknown	27	English		that is when Jane brother's mother gave birth to Jane brother	that be	that be	that		be						past
5	the chain slipped off the other day when riding home.	Sam repaired his bicycle	0	good	43	English	This was creative and cool.	the chain slipped off the other day when riding home	chain slip	chain slip	chain		slip						past
5	he shifted gears to fast	Sam repaired his bicycle	1	good	43	English	This was creative and cool.	Sam shifted gears to fast	Sam shift	Sam shift fast	Sam		shift	fast					past
5	he was somewhat careless	Sam repaired his bicycle	2	good	43	English	This was creative and cool.	Sam was somewhat careless	Sam careless	Sam careless	Sam		careless						past
5	it had been a long day and he was tired	Sam repaired his bicycle	3	good	43	English	This was creative and cool.	it had been a long day and Sam was tired	it day	it day	it		day						past
5	he worked a full shift and then stayed late at his job	Sam repaired his bicycle	4	unknown	43	English	This was creative and cool.	Sam worked a full shift and then stayed late at Sam's job	Sam work	Sam work shift	Sam		work	shift					past
5	she was hungry	Amy ate a sandwich	0	good	43	English	This was creative and cool.	Amy was hungry	Amy hungry	Amy hungry	Amy		hungry						past
5	she skipped breakfast	Amy ate a sandwich	1	good	43	English	This was creative and cool.	Amy skipped breakfast	Amy skip	Amy skip breakfast	Amy		skip	breakfast					past
5	she didn't have time to eat	Amy ate a sandwich	2	good	43	English	This was creative and cool.	Amy didn't have time to eat	Amy not have	Amy not have eat time	Amy	not	have	time			eat		past
5	she overslept and was late for school	Amy ate a sandwich	3	good	43	English	This was creative and cool.	Amy overslept and was late for school	overslept	overslept			overslept						past
5	she stayed up late studying for her test	Amy ate a sandwich	4	unknown	43	English	This was creative and cool.	Amy overslept stayed up late studying for Amy overslept test	Amy oversleep	Amy oversleep test	Amy		oversleep	test					past
5	she had an 8 hour shift today	Maya drove to work	0	good	43	English	This was creative and cool.	Maya had an 8 hour shift today	maya have	maya have shift	maya		have	shift					past
5	that is how the manager scheduled her	Maya drove to work	1	good	43	English	This was creative and cool.	that is how the manager scheduled Maya	that be	that be	that		be						past
5	she was one of the few people available to work that day	Maya drove to work	2	good	43	English	This was creative and cool.	Maya was one of the few people available to work that day	maya one	maya one people	maya		one	people					past
5	most of the employees ask for Sunday off	Maya drove to work	3	good	43	English	This was creative and cool.	most of the employees ask for Sunday off	most ask	most ask Sunday	most		ask	Sunday					future
5	they go to church and or like watching sports that day	Maya drove to work	4	unknown	43	English	This was creative and cool.	the employees go to church and or like watching sports that day	employee	employee			employee						present
5	the sink was piled high with dirty dishes	Alex did the dishes	0	good	43	English	This was creative and cool.	the sink was piled high with dirty dishes	sink piled	sink piled dish	sink		piled	dish					past
5	he had been too busy to wash them this week	Alex did the dishes	1	good	43	English	This was creative and cool.	Alex had been too busy to wash them this week	Alex busy	Alex busy wash they	Alex		busy				wash	they	past
5	he had more than his usual commitments	Alex did the dishes	2	good	43	English	This was creative and cool.	Alex had more than Alex's usual commitments	Alex have	Alex have more	Alex		have	more					past
5	it turned out that a lot of responsibilities fell heavy this week	Alex did the dishes	3	good	43	English	This was creative and cool.	it turned out that a lot of responsibilities fell heavy this week	it turn	it turn	it		turn						past
5	it was simply random happenstance	Alex did the dishes	4	unknown	43	English	This was creative and cool.	a lot of responsibilities was simply random happenstance	lot happenstance	lot happenstance	lot		happenstance						past
5	he wanted to plant a garden in his backyard	Jack read a book about gardening	0	good	43	English	This was creative and cool.	Jack wanted to plant a garden in Jack's backyard	Jack want	Jack want plant garden	Jack		want				plant	garden	future
5	he felt like starting a new hobby	Jack read a book about gardening	1	good	43	English	This was creative and cool.	Jack felt like starting a new hobby	Jack feel	Jack feel start	Jack		feel	start					past
5	he was bored with his life	Jack read a book about gardening	2	good	43	English	This was creative and cool.	Jack was bored with Jack's life	Jack bored	Jack bored life	Jack		bored	life					past
5	it had become too routine	Jack read a book about gardening	3	unknown	43	English	This was creative and cool.	Jack 's life had become too routine	life become	life become	life		become						past
6	he was low on milk	John went to the store	0	good	41	English		John was low on milk	John low	John low milk	John		low	milk					past
6	he had been using a lot of milk lately.	John went to the store	1	good	41	English		John had been using a lot of milk lately	John use	John use lot	John		use	lot					past
6	he was drinking more coffee and he liked it better with a lot of milk.	John went to the store	2	good	41	English		John was drinking more coffee and John liked it better with a lot of milk	John drink	John drink coffee	John		drink	coffee					past
6	He was having trouble waking up in the morning	John went to the store	3	good	41	English		He was having trouble waking up in the morning	he have	he have trouble	he		have	trouble					past
6	he was staying up too late at night	John went to the store	4	unknown	41	English		John was staying up too late at night	John stay	John stay	John		stay						past
6	he was hungry	Tom cooked dinner	0	good	41	English		Tom was hungry	Tom hungry	Tom hungry	Tom		hungry						past
6	he hadn't eaten since lunch	Tom cooked dinner	1	good	41	English		Tom hadn't eaten since lunch	Tom not eat	Tom not eat lunch	Tom	not	eat	lunch					past
6	he doesn't like to snack between meals	Tom cooked dinner	2	good	41	English		Tom doesn't like to snack between meals	Tom not like	Tom not like snack	Tom	not	like	snack					present
6	snacking leads to weight gain	Tom cooked dinner	3	good	41	English		snacking leads to weight gain	snack	snack gain			snack	gain					future
6	it adds more calories to burn off	Tom cooked dinner	4	unknown	41	English		weight gain adds more calories to burn off	gain add	gain add	gain		add						present
6	it was too far to walk	Maya drove to work	0	good	41	English		it was too far to walk	it far	it far walk	it		far				walk		past
6	she couldn't find a job closer to her home	Maya drove to work	1	good	41	English		Maya couldn't find a job closer to Maya home	maya not find	maya not find home	maya	not	find	home					future
6	she lived in a bedroom community	Maya drove to work	2	good	41	English		Maya lived in a bedroom community	maya live	maya live community	maya		live	community					past
6	she enjoyed the peace and quiet	Maya drove to work	3	good	41	English		Maya enjoyed the peace and quiet	enjoy	enjoy peace			enjoy	peace					past
6	she was able to relax better in quiet.	Maya drove to work	4	unknown	41	English		Maya was able to relax better in quiet	maya able	maya able relax	maya		able				relax		past
6	she was hungry	Amy ate a sandwich	0	good	41	English		Amy was hungry	Amy hungry	Amy hungry	Amy		hungry						past
6	she hadn't eaten since breakfast	Amy ate a sandwich	1	good	41	English		Amy hadn't eaten since breakfast	Amy not eat	Amy not eat breakfast	Amy	not	eat	breakfast					past
6	there was no time to eat	Amy ate a sandwich	2	good	41	English		there was no time to eat	time be	time be	time		be						past
6	she was at work	Amy ate a sandwich	3	good	41	English		Amy was at work	Amy be	Amy be work	Amy		be	work					past
6	she has a job	Amy ate a sandwich	4	unknown	41	English		Amy has a job	Amy have	Amy have job	Amy		have	job					present
6	he was interested in starting a garden	Jack read a book about gardening	0	good	41	English		Jack was interested in starting a garden	Jack interested	Jack interested start	Jack		interested	start					past
6	he wanted to cook with fresh vegetables	Jack read a book about gardening	1	good	41	English		Jack wanted to cook with fresh vegetables	Jack want	Jack want cook vegetable	Jack		want				cook	vegetable	future
6	he wanted to eat a healthier diet	Jack read a book about gardening	2	good	41	English		Jack wanted to eat a healthier diet	Jack want	Jack want eat diet	Jack		want				eat	diet	future
6	he wanted to maintain his health	Jack read a book about gardening	3	unknown	41	English		Jack wanted to maintain Jack's health	Jack want	Jack want maintain health	Jack		want				maintain	health	future
7	she needed one	Meg bought a new computer	0	good	35	English		Meg needed one	Meg need	Meg need one	Meg		need	one					future
7	she was in school	Meg bought a new computer	1	good	35	English		Meg was in school	Meg be	Meg be school	Meg		be	school					past
7	she wanted to better herself	Meg bought a new computer	2	good	35	English		Meg wanted to better herself	herself want	herself want better	herself		want	better					future
7	she wanted to travel	Meg bought a new computer	3	good	35	English		Meg wanted to travel	Meg want	Meg want travel	Meg		want				travel		future
7	she wanted to see the world	Meg bought a new computer	4	unknown	35	English		Meg wanted to see the world	Meg want	Meg want see world	Meg		want				see	world	future
7	he wanted to plant a garden	Jack read a book about gardening	0	good	35	English		Jack wanted to plant a garden	Jack want	Jack want plant garden	Jack		want				plant	garden	future
7	he wanted organic vegetables	Jack read a book about gardening	1	good	35	English		Jack wanted organic vegetables	Jack want	Jack want vegetable	Jack		want	vegetable					future
7	they were healthier	Jack read a book about gardening	2	good	35	English		they were healthier	they healthier	they healthier	they		healthier						past
7	they did not have pesticides on them	Jack read a book about gardening	3	good	35	English		they did not have pesticides on them	they not have	they not have pesticide	they	not	have	pesticide					past
7	Jack would not use them	Jack read a book about gardening	4	unknown	35	English		Jack would not use them	Jack not use	Jack not use they	Jack	not	use	they					future
7	he did not like messes	Alex did the dishes	0	good	35	English		Alex did not like messes	Alex not like	Alex not like mess	Alex	not	like	mess					past
7	his mothe taught him to be clean	Alex did the dishes	1	good	35	English		Alex's mothe taught him to be clean	mothe teach	mothe teach he clean	mothe		teach		he		clean		past
7	it was what she had been taught	Alex did the dishes	2	good	35	English		it was what she had been taught	it be	it be	it		be						past
7	her mother liked cleanliness	Alex did the dishes	3	good	35	English		her mother liked cleanliness	mother like	mother like cleanliness	mother		like	cleanliness					past
7	she just did	Alex did the dishes	4	unknown	35	English		her mother just did	mother do	mother do	mother		do						past
7	she needed stamps	Jane went to the post office	0	good	35	English		Jane needed stamps	Jane need	Jane need stamp	Jane		need	stamp					future
7	she wanted to mail sone postcards	Jane went to the post office	1	good	35	English		Jane wanted to mail sone postcards	Jane want	Jane want postcard	Jane		want	postcard					future
7	she was on vacation	Jane went to the post office	2	good	35	English		Jane was on vacation	Jane be	Jane be vacation	Jane		be	vacation					past
7	it was summer	Jane went to the post office	3	good	35	English		the post office was summer	office be	office be	office		be						past
7	it was July	Jane went to the post office	4	unknown	35	English		summer was July	summer be	summer be	summer		be						past
7	it was Monday	Maya drove to work	0	good	35	English		it was Monday	it be	it be	it		be						past
7	yesterday was Sunday	Maya drove to work	1	good	35	English		yesterday was Sunday	yesterday be	yesterday be	yesterday		be						past
7	the day before was Saturday	Maya drove to work	2	good	35	English		the day before was Saturday	Saturday	Saturday			Saturday						past
7	NO_RESPONSE	Maya drove to work	3	unknown	35	English		NO_RESPONSE	no_response	no_response			no_response						future
8	her old one was obsolete 	Meg bought a new computer	0	good	31	english		Meg old one was obsolete 	one obsolete	one obsolete	one		obsolete						past
8	technology is ever changing	Meg bought a new computer	1	good	31	english		technology is ever changing	technology change	technology change	technology		change						present
8	developers come up with new technology frquently	Meg bought a new computer	2	good	31	english		developers come up with new technology frquently	developer come	developer come technology	developer		come	technology					present
8	consumers want it	Meg bought a new computer	3	good	31	english		consumers want Meg old one	consumer want	consumer want Meg	consumer		want	Meg					future
8	they need it	Meg bought a new computer	4	unknown	31	english		they need consumers old one	they need	they need consumer	they		need	consumer					future
8	she was hungry	Amy ate a sandwich	0	good	31	english		Amy was hungry	Amy hungry	Amy hungry	Amy		hungry						past
8	she hadn't eaten recently	Amy ate a sandwich	1	good	31	english		Amy hadn't eaten recently	Amy not eat	Amy not eat	Amy	not	eat						past
8	she was busy	Amy ate a sandwich	2	good	31	english		Amy was busy	Amy busy	Amy busy	Amy		busy						past
8	she was working	Amy ate a sandwich	3	good	31	english		Amy was working	Amy work	Amy work	Amy		work						past
